group,group_name,n_occupations,total_employment,total_outflow,total_inflow,net_flow,avg_displacement,net_flow_pct
29,Healthcare Practitioners,64,8446350,969255,8144401,7175146,11.1,84.9
25,Education & Library,61,6862980,1067586,6118765,5051179,15.5,73.6
47,Construction & Extraction,62,6101080,1056046,4037572,2981524,20.1,48.9
27,Arts & Entertainment,38,1950270,542559,3358792,2816229,27.2,144.4
39,Personal Care & Service,28,2744860,202276,3005340,2803066,8.2,102.1
19,Life/Physical Science,42,1094180,346192,3105308,2759111,32.1,252.2
33,Protective Service,21,3340800,301952,2450852,2148901,9.2,64.3
55,Military,13,0,0,1629303,1629303,3.0,
21,Community & Social,17,1991000,237044,1676418,1439377,11.1,72.3
31,Healthcare Support,17,3405240,304594,1722119,1417524,10.0,41.6
17,Architecture & Eng,36,2473410,1123029,1733042,610020,45.6,24.7
23,Legal,8,1191480,282801,775097,492295,21.8,41.3
45,Farming/Fishing/Forestry,14,430560,166980,591164,424182,34.6,98.5
49,Install/Maint/Repair,52,5934710,2668160,1935791,-732372,43.6,-12.3
37,Building & Grounds,9,4347380,1567123,424251,-1142873,30.7,-26.3
11,Management,36,10393520,3922631,2266306,-1656327,36.0,-15.9
51,Production,111,8196020,4374080,2715968,-1658115,52.1,-20.2
35,Food Preparation,17,13389140,3297027,995893,-2301134,25.0,-17.2
53,Transportation & Material Moving,51,12676630,5342250,1970322,-3371930,39.2,-26.6
13,Business & Financial,34,9660960,4849895,1383897,-3465998,48.6,-35.9
41,Sales,22,13083560,4993009,1424967,-3568044,37.8,-27.3
15,Computer & Math,22,5046830,3863005,215812,-3647190,74.4,-72.3
43,Office & Admin Support,55,17988880,11436375,1232497,-10203877,63.0,-56.7
