region_id,region_name,total_employment,displacement_index,raw_capability_index,ai_raw_index,robot_raw_index,ai_share_of_raw,robot_share_of_raw,threat_share_ai,threat_share_robotic,threat_share_both
AK,Alaska,286320.0,35.79,44.463,29.283,15.188,0.658,0.342,0.581,0.406,0.013
AL,Alabama,1963530.0,37.8,46.344,27.562,18.787,0.595,0.405,0.537,0.452,0.011
AR,Arkansas,1202890.0,37.37,46.351,27.821,18.535,0.6,0.4,0.546,0.446,0.008
AZ,Arizona,2980510.0,37.677,46.592,31.986,14.61,0.686,0.314,0.607,0.378,0.015
CA,California,16357290.0,37.509,46.658,32.088,14.572,0.688,0.312,0.612,0.372,0.016
CT,Connecticut,1535720.0,37.0,46.4,32.411,13.994,0.698,0.302,0.638,0.347,0.015
DC,District of Columbia,642390.0,37.938,50.677,44.067,6.61,0.87,0.13,0.803,0.185,0.012
DE,Delaware,431080.0,36.914,46.513,32.389,14.127,0.696,0.304,0.611,0.374,0.014
FL,Florida,9333750.0,37.24,46.239,31.876,14.367,0.689,0.311,0.609,0.379,0.012
GA,Georgia,4585300.0,38.224,47.597,31.609,15.992,0.664,0.336,0.601,0.389,0.01
GU,Guam,50090.0,36.46,43.027,26.619,16.414,0.619,0.381,0.499,0.493,0.008
HI,Hawaii,570750.0,35.339,43.532,28.844,14.693,0.663,0.337,0.569,0.415,0.016
IA,Iowa,1457510.0,37.531,46.401,28.303,18.104,0.61,0.39,0.546,0.444,0.01
ID,Idaho,779310.0,37.221,45.544,29.305,16.244,0.643,0.357,0.566,0.422,0.012
IL,Illinois,5598340.0,37.856,46.926,30.424,16.507,0.648,0.352,0.59,0.396,0.014
IN,Indiana,2988680.0,37.83,46.246,26.457,19.795,0.572,0.428,0.518,0.472,0.011
KS,Kansas,1329680.0,37.677,46.588,29.366,17.226,0.63,0.37,0.566,0.42,0.013
KY,Kentucky,1872310.0,37.986,46.462,27.507,18.962,0.592,0.408,0.539,0.449,0.012
LA,Louisiana,1773990.0,35.544,44.321,27.919,16.407,0.63,0.37,0.562,0.423,0.015
MA,Massachusetts,3311370.0,36.97,46.825,34.633,12.196,0.74,0.26,0.67,0.314,0.016
MD,Maryland,2541600.0,37.646,47.123,34.816,12.31,0.739,0.261,0.662,0.324,0.015
ME,Maine,579160.0,36.157,45.122,29.758,15.369,0.659,0.341,0.589,0.4,0.011
MI,Michigan,4100130.0,38.508,47.14,29.703,17.441,0.63,0.37,0.572,0.417,0.011
MN,Minnesota,2652670.0,38.113,47.185,31.906,15.284,0.676,0.324,0.607,0.379,0.014
MO,Missouri,2697790.0,37.536,46.647,30.552,16.1,0.655,0.345,0.59,0.397,0.013
MS,Mississippi,1085370.0,36.513,45.176,26.288,18.893,0.582,0.418,0.533,0.455,0.013
MT,Montana,470850.0,35.719,44.409,29.143,15.269,0.656,0.344,0.57,0.417,0.014
NC,North Carolina,4638250.0,37.732,46.73,30.785,15.949,0.659,0.341,0.589,0.399,0.012
ND,North Dakota,389580.0,35.418,44.158,27.045,17.117,0.612,0.388,0.537,0.449,0.015
NE,Nebraska,959250.0,37.019,46.036,29.477,16.564,0.64,0.36,0.569,0.42,0.011
NH,New Hampshire,622790.0,38.273,46.894,32.005,14.893,0.682,0.318,0.614,0.371,0.015
NJ,New Jersey,3908970.0,38.08,47.392,32.798,14.598,0.692,0.308,0.633,0.351,0.016
NM,New Mexico,768940.0,36.693,45.248,30.734,14.518,0.679,0.321,0.6,0.39,0.01
NV,Nevada,1438900.0,35.72,43.634,26.56,17.079,0.609,0.391,0.515,0.455,0.03
NY,New York,8397750.0,36.587,46.59,34.042,12.551,0.731,0.269,0.665,0.321,0.014
OH,Ohio,5151940.0,37.6,46.751,29.555,17.201,0.632,0.368,0.577,0.413,0.01
OK,Oklahoma,1595190.0,37.121,45.849,29.047,16.807,0.633,0.367,0.565,0.423,0.012
OR,Oregon,1795150.0,37.535,46.382,30.698,15.688,0.662,0.338,0.586,0.4,0.014
PA,Pennsylvania,5498020.0,37.332,46.631,30.765,15.871,0.66,0.34,0.599,0.388,0.014
PR,Puerto Rico,874700.0,38.084,46.523,31.32,15.207,0.673,0.327,0.626,0.367,0.007
RI,Rhode Island,445140.0,36.98,46.278,31.914,14.368,0.69,0.31,0.616,0.372,0.012
SC,South Carolina,2142820.0,37.637,46.111,28.95,17.166,0.628,0.372,0.567,0.421,0.013
SD,South Dakota,422560.0,36.535,45.116,28.057,17.063,0.622,0.378,0.549,0.435,0.016
TN,Tennessee,3102430.0,38.378,47.012,29.209,17.809,0.621,0.379,0.562,0.428,0.01
TX,Texas,12861590.0,38.072,47.039,31.64,15.403,0.673,0.327,0.601,0.39,0.009
UT,Utah,1612630.0,38.789,47.445,32.567,14.882,0.686,0.314,0.599,0.388,0.013
VA,Virginia,3786680.0,38.303,47.8,34.244,13.557,0.716,0.284,0.636,0.35,0.014
VI,Virgin Islands,27980.0,36.444,44.636,30.19,14.452,0.676,0.324,0.585,0.405,0.01
VT,Vermont,266870.0,35.652,45.033,30.594,14.444,0.679,0.321,0.615,0.376,0.009
WA,Washington,3255730.0,38.956,47.932,33.649,14.285,0.702,0.298,0.615,0.37,0.015
WI,Wisconsin,2707950.0,38.688,47.375,29.093,18.287,0.614,0.386,0.556,0.432,0.012
WV,West Virginia,644130.0,35.19,44.414,28.58,15.838,0.643,0.357,0.577,0.408,0.015
WY,Wyoming,255520.0,35.413,43.911,26.54,17.375,0.604,0.396,0.526,0.465,0.01
